method,noise_rate,mean_ratio,std_ratio
Classical depth-2 search angles,0.0,0.8686484466150648,0.028127917428987567
Graph-conditioned GNN (ours),0.0,0.8613218610181322,0.03663706431530245
Heuristic mean-angle initializer,0.0,0.8634241368816373,0.028546136978256087
Classical depth-2 search angles,0.01,0.8502025594804293,0.027945325973740456
Graph-conditioned GNN (ours),0.01,0.8433117719974527,0.035858991652750236
Heuristic mean-angle initializer,0.01,0.8452293429706437,0.028426949411051203
Classical depth-2 search angles,0.02,0.8332327348980327,0.02774720701344991
Graph-conditioned GNN (ours),0.02,0.8267729909628586,0.03507837351836456
Heuristic mean-angle initializer,0.02,0.8285204826909522,0.02827501246640882
Classical depth-2 search angles,0.05,0.7902251407509628,0.027119914438989364
Graph-conditioned GNN (ours),0.05,0.7849970062674076,0.03283337918292866
Heuristic mean-angle initializer,0.05,0.7863150068733767,0.027708443620929776
